ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
458982,Male,Yes,61,Yes,Executive,1,High,3,Cat_6,C
458983,Female,Yes,63,Yes,Executive,0,High,5,Cat_6,C
458984,Male,Yes,39,Yes,Artist,0,Average,3,Cat_6,C
458985,Male,No,23,No,Healthcare,1,Low,4,Cat_6,D
458986,Male,No,18,No,Healthcare,7,Low,4,Cat_6,D
458987,Female,Yes,72,Yes,Lawyer,0,High,2,Cat_6,C
458988,Female,No,29,No,Marketing,2,Low,3,Cat_6,D
458989,Female,Yes,42,Yes,Engineer,1,Low,1,Cat_6,B
458989,Female,Yes,36,Yes,Engineer,0,Low,1,Cat_6,A
458990,Female,Yes,71,No,Lawyer,1,High,3,Cat_6,D
458991,Female,Yes,84,Yes,Lawyer,3,High,2,Cat_6,A
458992,Female,No,27,Yes,Marketing,0,Low,1,Cat_6,D
458993,Male,Yes,29,No,Doctor,0,Low,2,Cat_4,A
458994,Male,Yes,38,Yes,Healthcare,8,Average,4,Cat_6,C
458994,Male,Yes,37,Yes,Healthcare,8,Average,4,Cat_6,A
458995,Male,Yes,62,No,Executive,0,High,4,Cat_6,B
458996,Female,Yes,71,No,,1,Low,1,Cat_6,A
458996,Female,Yes,69,No,,0,Low,1,Cat_6,A
458997,Male,Yes,61,Yes,Artist,1,Average,2,Cat_6,B
458998,Male,Yes,37,No,Doctor,9,Low,2,Cat_6,D
458999,Male,Yes,55,Yes,Artist,1,Average,2,Cat_6,C
459000,Male,Yes,58,No,Executive,12,High,2,Cat_6,C
459000,Male,Yes,59,No,Executive,11,High,2,Cat_6,A
459001,Female,No,20,No,Marketing,,Low,4,Cat_6,C
459001,Female,No,19,No,Marketing,,Low,4,Cat_6,A
459002,Female,Yes,45,No,Engineer,2,Low,2,Cat_6,D
459003,Male,Yes,51,Yes,Doctor,0,High,5,Cat_4,C
459003,Male,Yes,47,Yes,Doctor,0,High,5,Cat_4,A
459004,Female,Yes,51,Yes,Artist,1,High,5,Cat_6,C
459005,Male,Yes,61,Yes,Doctor,5,Low,3,Cat_6,A
459006,Male,No,20,No,Healthcare,1,Low,4,Cat_6,D
459007,Female,Yes,42,Yes,Artist,1,Average,3,Cat_6,C
459008,Female,Yes,52,Yes,Artist,1,Average,3,Cat_6,B
459008,Female,Yes,47,Yes,Artist,1,Average,3,Cat_6,A
459009,Female,Yes,50,Yes,Artist,1,Average,3,Cat_6,C
459010,Female,Yes,48,Yes,Artist,,Average,3,Cat_6,B
459011,Male,Yes,88,No,Lawyer,1,Low,1,Cat_6,A
459012,Male,Yes,48,Yes,Artist,3,Low,5,Cat_6,B
459013,Male,Yes,47,Yes,Artist,3,Average,4,Cat_6,C
459013,Male,Yes,50,Yes,Artist,2,Average,4,Cat_6,A
459014,Male,No,22,No,Healthcare,0,Low,4,Cat_6,D
459014,Male,No,19,No,Healthcare,0,Low,4,Cat_6,A
459015,Male,No,19,No,Healthcare,0,Low,3,Cat_6,D
459015,Male,No,22,No,Healthcare,0,Low,3,Cat_6,A
459016,Female,No,18,No,Healthcare,0,Low,6,Cat_6,D
459016,Female,No,22,No,Healthcare,0,Low,6,Cat_6,A
459017,Male,Yes,50,Yes,Executive,,High,6,Cat_6,C
459018,Male,Yes,85,No,Executive,1,High,2,Cat_6,D
459019,Male,Yes,45,No,Executive,10,High,3,Cat_6,C
459020,Female,Yes,56,Yes,Artist,0,Average,4,Cat_6,C
459021,Male,Yes,45,Yes,Artist,7,Low,2,Cat_2,A
459022,Male,Yes,67,Yes,Artist,10,Low,1,Cat_6,D
459023,Female,No,18,No,Healthcare,0,Low,5,Cat_6,D
459024,Male,Yes,50,Yes,Artist,0,Average,5,Cat_6,C
459024,Male,Yes,50,Yes,Artist,1,Average,5,Cat_6,A
459026,Male,No,29,No,Healthcare,9,Low,3,Cat_3,D
459026,Male,No,27,No,Healthcare,8,Low,3,Cat_3,A
459027,Male,Yes,67,Yes,Doctor,1,Average,4,Cat_6,B
459028,Male,Yes,57,Yes,Executive,1,High,3,Cat_6,C
459029,Male,Yes,70,No,Executive,,High,2,Cat_6,B
459030,Male,Yes,46,No,Executive,6,High,6,Cat_6,C
459031,Male,Yes,43,No,Executive,1,High,5,Cat_4,B
459032,Male,No,21,No,Doctor,0,Low,3,Cat_6,A
459032,Male,No,18,No,Doctor,0,Low,3,Cat_6,A
459033,Female,Yes,56,Yes,Artist,0,Low,1,Cat_6,B
459033,Female,Yes,61,Yes,Artist,0,Low,1,Cat_6,A
459034,Female,No,21,No,Healthcare,,Low,5,Cat_6,D
459036,Female,Yes,20,Yes,Lawyer,1,Average,3,Cat_3,A
459036,Female,Yes,20,Yes,Lawyer,1,Average,3,Cat_3,A
459037,Female,No,23,No,Engineer,1,Low,,Cat_6,D
459038,Female,No,18,No,Healthcare,1,Low,4,Cat_6,D
459039,Male,Yes,45,Yes,Artist,1,Average,2,Cat_6,C
459039,Male,Yes,45,Yes,Artist,1,Average,2,Cat_6,A
459041,Male,Yes,62,Yes,Artist,8,Low,1,Cat_6,D
459041,Male,Yes,55,Yes,Artist,8,Low,1,Cat_6,A
459042,Female,Yes,41,Yes,Engineer,1,Average,3,Cat_6,C
459043,Female,Yes,49,No,Engineer,1,Low,1,Cat_7,A
459044,Male,Yes,38,Yes,Artist,4,Average,3,Cat_6,C
459045,Female,Yes,88,Yes,Lawyer,1,Average,4,Cat_6,A
459046,Male,Yes,57,Yes,Executive,,Low,4,Cat_2,A
459047,Female,No,21,No,Healthcare,1,Low,5,Cat_4,D
459048,Female,No,18,No,Healthcare,0,Low,5,Cat_6,D
459049,Male,Yes,49,Yes,Executive,2,High,4,Cat_2,B
459050,Female,No,19,No,Healthcare,0,Low,3,Cat_6,D
459051,Male,Yes,66,Yes,Artist,,Average,2,Cat_6,C
459052,Male,Yes,47,No,Artist,0,Low,2,Cat_6,A
459053,Male,Yes,46,Yes,Executive,0,High,4,Cat_6,C
459054,Male,Yes,37,Yes,Executive,9,High,4,Cat_6,C
459055,Female,No,19,No,Entertainment,1,Low,5,Cat_6,D
459056,Male,Yes,56,No,Executive,,High,3,Cat_6,B
459056,Male,Yes,63,No,Executive,,High,3,Cat_6,A
459057,Male,Yes,68,No,Lawyer,,High,,Cat_6,D
459057,Male,Yes,69,No,Lawyer,,High,,Cat_6,A
459058,Male,No,40,Yes,Artist,1,Low,4,Cat_3,A
459058,Male,No,42,Yes,Artist,0,Low,4,Cat_3,A
459059,Male,Yes,87,No,Executive,,High,2,Cat_6,A
459059,Male,Yes,79,No,Executive,,High,2,Cat_6,A
459061,Female,Yes,39,Yes,Healthcare,9,High,3,Cat_6,A
